fecha,cliente_ref,sku,unidades,kilos,valor,canal_fuente,regional_fuente,responsable,fuente,comentario,archivo,cliente_id,cliente,metodo_cliente,score_cliente,canal,regional,sku_valido,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,duplicado_exacto
2025-01-01,RapiExpress,900101,2,0.16,15270,Ecommerce,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-01,RapiExpress,110108,2,0.3,23540,E-commerce,Centro,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,MANCHEGO CUÑA MONTE AZUL 150G,0.15,UND,MANCHEGO,CUÑAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,False
2025-01-01,Rapi Express,900103,3,0.24,24940,Quick commerce,CENTRO,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,JAMON SERRANO TAJADO CASA IBERIA 80G,0.08,UND,JAMON SERRANO,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-03,Rapi Express,110113,2,0.5,23820,Quick commerce,CENTRO,Laura Mejía,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-03,RapiExpress,300102,3,,22130,Ecommerce,CENTRO,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-04,Abarrotes Norte,110113,13,3.25,152860,Tradicional Modernizado,Caribe,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C015,Abarrotes Norte,nombre_normalizado,100.0,Tradicional Modernizado,Caribe,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,Plaza Hogar,130103,83,23.904,524310,GS,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C014,Plaza Hogar,nombre_normalizado,100.0,Grandes Superficies,Occidente,True,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-06,Rapi Express,300102,2,0.46,14500,Quick commerce,Centro,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C017,RapiExpress,nombre_normalizado,100.0,E-commerce,Centro,True,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-06,MaxiCompra Caribe,300101,60,13.8,403930,GS,CARIBE,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C003,MaxiCompra Caribe,nombre_normalizado,100.0,Grandes Superficies,Caribe,True,JAMON DE CERDO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON CERDO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-06,Plaza Hogar,300102,48,11.04,347870,Grandes superficies,OCCIDENTE,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C014,Plaza Hogar,nombre_normalizado,100.0,Grandes Superficies,Occidente,True,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,False
2025-01-06,MaxiCompra Caribe,130103,66,19.008,402820,GS,CARIBE,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C003,MaxiCompra Caribe,nombre_normalizado,100.0,Grandes Superficies,Caribe,True,LONCHAS AMERICANAS DELILAT 288G,0.288,UND,CHEDDAR ANALOGO,LONCHITAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-06,Canasta Familiar,110113,35,8.75,419750,Grandes superficies,SANTANDERES,Juan Sebastián León,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C016,Canasta Familiar,nombre_normalizado,100.0,Grandes Superficies,Santanderes,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,MAXICOMPRA CARIBE,130101,87,13.05,379960,GS,Caribe,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C003,MaxiCompra Caribe,nombre_normalizado,100.0,Grandes Superficies,Caribe,True,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,False
2025-01-06,MaxiCompra Caribe,110113,44,11.0,516020,Grandes Superficies,CARIBE,Nicolás Pardo,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C003,MaxiCompra Caribe,nombre_normalizado,100.0,Grandes Superficies,Caribe,True,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,False
2025-01-06,Hipermax Nacional S.A.,900101,59,4.72,445830,Grandes Superficies,Centro,Daniel Rojas,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,False
2025-01-06,Canasta Familiar SAS,110103,33,4.95,361130,GS,SANTANDERES,Juan Sebastián León,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C016,Canasta Familiar,nombre_normalizado,100.0,Grandes Superficies,Santanderes,True,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,PLAZA HOGAR,120101,86,21.5,653160,Grandes Superficies,Occidente,María Paz Torres,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C014,Plaza Hogar,nombre_normalizado,100.0,Grandes Superficies,Occidente,True,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,False
2025-01-06,Canasta Familiar SAS,110114,33,8.25,611010,Grandes superficies,Santanderes,Juan Sebastián León,ERP_COMERCIAL_Q1,,Sell_in_1.csv,C016,Canasta Familiar,nombre_normalizado,100.0,Grandes Superficies,Santanderes,True,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
